Bureau of Justice Statistics,,,,,
Filename: p19f01.csv,,,,,
"Figure 1. Combined state and federal imprisonment rates per 100,000 U.S. residents, 1989-2019",,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 1989-2019; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year",,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 10/22/2020,,,,,
,,,,,
"Figure 1. Combined state and federal imprisonment rates per 100,000 U.S. residents, 1989-2019",,,,,
Year,All ages,Age 18 or older,Total U.S. Population,,Total Pop(All Ages)
1989,274,369,249725805,,684248.7057
1990,295,398,252120309,,743754.91155
1991,311,420,254539370,,791617.4407
1992,330,446,256990613,,848069.0229
1993,360,486,259532129,,934315.6644
1994,389,526,262241196,,1020118.25244
1995,411,556,265163745,,1089822.99195
1996,427,577,268335003,,1145790.46281
1997,444,599,271713635,,1206408.5394
1998,463,623,275175301,,1274061.64363
1999,476,640,278548150,,1325889.194
2000,470,632,281710909,,1324041.2723
2001,470,630,284607993,,1337657.5671
2002,477,639,287279318,,1370322.34686
2003,483,645,289815562,,1399809.16446
2004,487,649,292354658,,1423767.18446
2005,492,655,294993511,,1451368.07412
2006,501,666,297758969,,1491772.43469
2007,506,670,300608429,,1521078.65074
2008,506,669,303486012,,1535639.22072
2009,504,665,306307567,,1543790.13768
2010,500,656,309011475,,1545057.375
2011,492,644,311584047,,1532993.51124
2012,480,626,314043885,,1507410.648
2013,479,624,316400538,,1515558.57702
2014,472,613,318673411,,1504138.49992
2015,459,595,320878310,,1472831.4429
2016,450,583,323015995,,1453571.9775
2017,442,570,325084756,,1436874.62152
2018,432,556,327096265,,1413055.8648
2019,419,539,329064917,,1378782.00223
Note: Rates are based on prisoners sentenced to serve more than one year in state or federal prison. See appendix table 1 for rates.,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 1989-2019; and U.S. Census Bureau, post-censal resident population estimates for January 1 of the following calendar year.",,,,,
